 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 3.50  4900.  0.0   0.12722
 3.50  4900.  0.0   0.09331
 3.50  4900.  0.0   0.00532
 4.00  4900.  0.0   0.63276
 4.00  4900.  0.0   0.10916
 4.00  4900.  0.0   0.06898
 4.00  4900.  0.0   0.00457
 4.50  4900.  0.0   0.62686
 4.50  4900.  0.0   0.11118
 4.50  4900.  0.0   0.05365
 4.50  4900.  0.0   0.00401
 5.00  4900.  0.0   0.62625
 5.00  4900.  0.0   0.10809
 5.00  4900.  0.0   0.03931
 5.00  4900.  0.0   0.00371
 5.50  4900.  0.0   0.61258
 5.50  4900.  0.0   0.12055
 5.50  4900.  0.0   0.02878
